127.0.0.1 - - [06/Feb/2017:14:27:55 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:36 +0800] "GET /TomcatTest/ext-4.2.1.883/src/menu/Manager.js?_dc=1486362576936 HTTP/1.1" 200 6800
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:36 +0800] "GET /TomcatTest/ext-4.2.1.883/src/util/TextMetrics.js?_dc=1486362576936 HTTP/1.1" 200 6194
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:36 +0800] "GET /TomcatTest/ext-4.2.1.883/src/layout/component/Button.js?_dc=1486362576936 HTTP/1.1" 200 9537
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:36 +0800] "GET /TomcatTest/ext-4.2.1.883/src/layout/component/Auto.js?_dc=1486362576972 HTTP/1.1" 200 8430
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/TestExtjs/app/controller/Users.js?_dc=1486362577016 HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/TestExtjs/app/model/User.js?_dc=1486362577195 HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/TestExtjs/app/view/user/List.js?_dc=1486362577196 HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/TestExtjs/app/store/Users.js?_dc=1486362577196 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/data/Model.js?_dc=1486362577211 HTTP/1.1" 200 73359
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/data/Store.js?_dc=1486362577216 HTTP/1.1" 200 124858
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/TestExtjs/app/view/user/Edit.js?_dc=1486362577196 HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/grid/Panel.js?_dc=1486362577213 HTTP/1.1" 200 10084
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/grid/View.js?_dc=1486362577276 HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/window/Window.js?_dc=1486362577265 HTTP/1.1" 200 28091
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/panel/Table.js?_dc=1486362577275 HTTP/1.1" 200 43323
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/view/Table.js?_dc=1486362577289 HTTP/1.1" 200 84862
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/util/ComponentDragger.js?_dc=1486362577308 HTTP/1.1" 200 6088
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/dd/DragTracker.js?_dc=1486362577330 HTTP/1.1" 200 20198
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/data/validations.js?_dc=1486362577326 HTTP/1.1" 200 5622
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/data/Field.js?_dc=1486362577325 HTTP/1.1" 200 17310
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/data/Errors.js?_dc=1486362577325 HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/data/proxy/Ajax.js?_dc=1486362577335 HTTP/1.1" 200 12715
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/data/proxy/Memory.js?_dc=1486362577336 HTTP/1.1" 200 8899
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/data/IdGenerator.js?_dc=1486362577325 HTTP/1.1" 200 6973
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/data/PageMap.js?_dc=1486362577336 HTTP/1.1" 200 9098
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/data/Group.js?_dc=1486362577336 HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/view/View.js?_dc=1486362577358 HTTP/1.1" 200 30231
0:0:0:0:0:0:0:1 - - [06/Feb/2017:14:29:37 +0800] "GET /TomcatTest/ext-4.2.1.883/src/grid/CellContext.js?_dc=1486362577359 HTTP/1.1" 200 2793
