127.0.0.1 - - [12/Jan/2017:14:22:33 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/fx/target/CompositeSprite.js?_dc=1484202155815 HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/fx/target/Component.js?_dc=1484202155815 HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/dd/DDProxy.js?_dc=1484202155817 HTTP/1.1" 200 6634
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/layout/container/Box.js?_dc=1484202155845 HTTP/1.1" 200 50636
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/dd/StatusProxy.js?_dc=1484202155817 HTTP/1.1" 200 6143
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/draw/Draw.js?_dc=1484202155854 HTTP/1.1" 200 49793
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/fx/target/Target.js?_dc=1484202155881 HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/dd/DD.js?_dc=1484202155964 HTTP/1.1" 200 11389
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/state/Provider.js?_dc=1484202155851 HTTP/1.1" 200 6524
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:36 +0800] "GET /TomcatTest/ext-4.2.1.883/src/dd/DragDropManager.js?_dc=1484202155817 HTTP/1.1" 200 41983
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:36 +0800] "GET /TomcatTest/ext-4.2.1.883/src/dd/DragDrop.js?_dc=1484202156016 HTTP/1.1" 200 35769
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:36 +0800] "GET /TomcatTest/ext-4.2.1.883/src/layout/container/boxOverflow/None.js?_dc=1484202156023 HTTP/1.1" 200 3755
